;EEX Power Derivatives Germany Base Month Option;;;;;;;;;;;;;;;;;;;;;;;;
;Instruments;;;;;;;Settlement;;Exchange;;;;;;;;;;;;;Trade Registration;;
Trading Date;Product;Underlying;Maturity;Delivery Start;Delivery End;Lot Size;Type;"Settlement
Price";Strike;Open Price;"Timestamp
Open Price";High Price;"Timestamp
High Price";Low Price;"Timestamp
Low Price";Last Price;"Timestamp
Last Price";Traded Lots;Traded Volume;Number of Trades;Open Interest Volume;Open Interest Lots;Traded Lots;Traded Volume;Number of Trades
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,101 EUR/MWh;35,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,152 EUR/MWh;34,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,226 EUR/MWh;33,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,335 EUR/MWh;32,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,492 EUR/MWh;31,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,716 EUR/MWh;30,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;1,024 EUR/MWh;29,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;1,433 EUR/MWh;28,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;1,956 EUR/MWh;27,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;2,594 EUR/MWh;26,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;3,340 EUR/MWh;25,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;4,175 EUR/MWh;24,500 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,002 EUR/MWh;44,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,004 EUR/MWh;43,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,006 EUR/MWh;42,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,009 EUR/MWh;41,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,015 EUR/MWh;40,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,023 EUR/MWh;39,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,036 EUR/MWh;38,000 EUR/MWh;;;;;;;;;;;;;;;;
2020-02-28;O2BM;DEBM;2020-04;2020-04-01;2020-04-30;720 MWh;C;0,054 EUR/MWh;37,000 EUR/MWh;;;;;;;;;;;;;;;;
