Trading Day,Product,Maturity,Delivery Start,Delivery End,Lot Size,Settlement Price,Open Price,Timestamp Open Price ,High Price,Timestamp High Price,Low Price,Timestamp Low Price,Last  Price,Timestamp Last Price,Traded Lots,Traded Volume,Number of Trades,Open Interest Volume,Open Interest Lots,Traded Lots,Traded Volume,Number of Trades
6/26/2020,DEBM,2020-12,12/1/2020,12/31/2020,744 MWh,37.89,,,,,,,,,,,,"358,608 MWh",482,,,
6/26/2020,DEBM,2021-01,1/1/2021,1/31/2021,744 MWh,42.34,,,,,,,,,,,,,,,,
6/26/2020,DEBM,2021-02,2/1/2021,2/28/2021,672 MWh,43.22,,,,,,,,,,,,,,,,
6/26/2020,DEBM,2021-03,3/1/2021,3/31/2021,743 MWh,37.63,,,,,,,,,,,,,,,,
6/25/2020,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,26.79,,,,,,,,,,,,"154,049,760 MWh","213,958",,,
6/25/2020,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,31.74,32,2020-06-25T08:17:45,32.15,2020-06-25T11:01:58,31.6,2020-06-25T15:55:18,31.7,2020-06-25T17:31:44,282,"209,808 MWh",88,"22,372,080 MWh","30,070","1,131","841,464 MWh",136
6/25/2020,DEBM,2020-08,8/1/2020,8/31/2020,744 MWh,31.72,32.2,2020-06-25T08:45:42,32.3,2020-06-25T09:57:17,31.7,2020-06-25T15:51:47,31.7,2020-06-25T17:59:58,223,"165,912 MWh",64,"8,405,712 MWh","11,298",786,"584,784 MWh",90
6/25/2020,DEBM,2020-09,9/1/2020,9/30/2020,720 MWh,35.82,36,2020-06-25T09:56:47,36,2020-06-25T09:56:47,35.7,2020-06-25T16:02:11,35.7,2020-06-25T17:31:48,157,"113,040 MWh",53,"3,780,720 MWh","5,251",70,"50,400 MWh",13
6/25/2020,DEBM,2020-10,10/1/2020,10/31/2020,745 MWh,35.71,36.25,2020-06-25T08:33:06,36.25,2020-06-25T08:33:06,36,2020-06-25T15:10:38,36,2020-06-25T15:10:38,25,"18,625 MWh",5,"841,105 MWh","1,129",5,"3,725 MWh",1
6/25/2020,DEBM,2020-11,11/1/2020,11/30/2020,720 MWh,42.45,,,,,,,,,,,,"4,320 MWh",6,,,
6/25/2020,DEBM,2020-12,12/1/2020,12/31/2020,744 MWh,37.68,,,,,,,,,,,,"358,608 MWh",482,,,
6/25/2020,DEBM,2021-01,1/1/2021,1/31/2021,744 MWh,42.48,,,,,,,,,,,,,,,,
6/25/2020,DEBM,2021-02,2/1/2021,2/28/2021,672 MWh,43.36,,,,,,,,,,,,,,,,
6/25/2020,DEBM,2021-03,3/1/2021,3/31/2021,743 MWh,37.76,,,,,,,,,,,,,,,,
6/24/2020,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,26.93,,,,,,,,,,,,"154,049,760 MWh","213,958",,,
6/24/2020,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,32.41,31.65,2020-06-24T08:40:14,32.45,2020-06-24T16:01:55,31.65,2020-06-24T08:40:14,32.25,2020-06-24T17:45:58,388,"288,672 MWh",120,"21,608,736 MWh","29,044","1,088","809,472 MWh",161
6/24/2020,DEBM,2020-08,8/1/2020,8/31/2020,744 MWh,32.75,32.55,2020-06-24T09:09:16,32.9,2020-06-24T14:55:23,32.45,2020-06-24T09:13:41,32.52,2020-06-24T17:50:30,162,"120,528 MWh",44,"7,899,048 MWh","10,617","1,083","805,752 MWh",156
