Trading Day,Product,Maturity,Delivery Start,Delivery End,Lot Size,Settlement Price,Open Price,Timestamp Open Price ,High Price,Timestamp High Price,Low Price,Timestamp Low Price,Last  Price,Timestamp Last Price,Traded Lots,Traded Volume,Number of Trades,Open Interest Volume (prev. day),Open Interest Lots (prev. day),Traded Lots,Traded Volume,Number of Trades
10/14/2019,DEBM,2020-04,4/1/2020,4/30/2020,720 MWh,44.19,,,,,,,,,,,,,,,,
10/14/2019,DEBM,2020-05,5/1/2020,5/31/2020,744 MWh,42.24,,,,,,,,,,,,,,,,
10/14/2019,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,45.85,,,,,,,,,,,,,,,,
10/14/2019,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,45.45,,,,,,,,,,,,,,,,
10/11/2019,DEBM,2019-10,10/1/2019,10/31/2019,745 MWh,37.89,,,,,,,,,,,,"121,505,775 MWh","163,095",,,
10/11/2019,DEBM,2019-11,11/1/2019,11/30/2019,720 MWh,45.14,45.25,2019-10-11T08:02:48,45.45,2019-10-11T08:02:55,45.05,2019-10-11T08:31:02,45.3,2019-10-11T17:41:58,654,"470,880 MWh",133,"111,715,920 MWh","155,161",573,"412,560 MWh",74
10/11/2019,DEBM,2019-12,12/1/2019,12/31/2019,744 MWh,43.28,43.15,2019-10-11T08:53:05,43.5,2019-10-11T16:42:08,43.1,2019-10-11T11:37:40,43.35,2019-10-11T17:25:05,184,"136,896 MWh",42,"108,582,336 MWh","145,944",140,"104,160 MWh",8
10/11/2019,DEBM,2020-01,1/1/2020,1/31/2020,744 MWh,50.69,50.4,2019-10-11T11:14:19,50.5,2019-10-11T11:18:21,50.3,2019-10-11T12:29:28,50.4,2019-10-11T13:59:58,20,"14,880 MWh",4,"323,640 MWh",435,75,"55,800 MWh",3
10/11/2019,DEBM,2020-02,2/1/2020,2/29/2020,696 MWh,52.9,52.25,2019-10-11T09:17:56,52.75,2019-10-11T11:18:21,52.25,2019-10-11T09:17:56,52.75,2019-10-11T11:29:20,20,"13,920 MWh",4,"54,984 MWh",79,,,
10/11/2019,DEBM,2020-03,3/1/2020,3/31/2020,743 MWh,45.57,45.5,2019-10-11T14:31:54,45.5,2019-10-11T14:31:54,45.5,2019-10-11T14:31:54,45.5,2019-10-11T14:31:54,5,"3,715 MWh",1,"45,323 MWh",61,45,"33,435 MWh",1
10/11/2019,DEBM,2020-04,4/1/2020,4/30/2020,720 MWh,44.08,,,,,,,,,,,,,,,,
10/11/2019,DEBM,2020-05,5/1/2020,5/31/2020,744 MWh,42.35,,,,,,,,,,,,,,,,
10/11/2019,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,45.96,,,,,,,,,,,,,,,,
10/11/2019,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,45.55,,,,,,,,,,,,,,,,
10/10/2019,DEBM,2019-10,10/1/2019,10/31/2019,745 MWh,37.59,,,,,,,,,,,,"121,505,775 MWh","163,095",,,
10/10/2019,DEBM,2019-11,11/1/2019,11/30/2019,720 MWh,44.3,44.5,2019-10-10T08:18:34,44.8,2019-10-10T11:02:06,44.25,2019-10-10T15:48:34,44.65,2019-10-10T17:59:47,283,"203,760 MWh",63,"111,264,480 MWh","154,534",631,"454,320 MWh",87
10/10/2019,DEBM,2019-12,12/1/2019,12/31/2019,744 MWh,42.32,42.3,2019-10-10T09:01:40,42.8,2019-10-10T16:43:37,42.3,2019-10-10T09:01:40,42.7,2019-10-10T17:48:44,120,"89,280 MWh",29,"108,461,064 MWh","145,781",295,"219,480 MWh",23
10/10/2019,DEBM,2020-01,1/1/2020,1/31/2020,744 MWh,49.35,49.8,2019-10-10T10:33:44,49.8,2019-10-10T10:33:44,49.65,2019-10-10T13:54:12,49.7,2019-10-10T15:18:55,15,"11,160 MWh",5,"252,960 MWh",340,25,"18,600 MWh",3
10/10/2019,DEBM,2020-02,2/1/2020,2/29/2020,696 MWh,51.85,52,2019-10-10T10:33:44,52,2019-10-10T10:33:44,51.9,2019-10-10T10:53:21,51.9,2019-10-10T10:53:21,11,"7,656 MWh",2,"41,064 MWh",59,,,
10/10/2019,DEBM,2020-03,3/1/2020,3/31/2020,743 MWh,44.48,,,,,,,,,,,,"8,173 MWh",11,,,
10/10/2019,DEBM,2020-04,4/1/2020,4/30/2020,720 MWh,42.89,,,,,,,,,,,,,,,,
10/10/2019,DEBM,2020-05,5/1/2020,5/31/2020,744 MWh,41.25,,,,,,,,,,,,,,,,
10/10/2019,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,44.77,,,,,,,,,,,,,,,,
10/10/2019,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,44.28,,,,,,,,,,,,,,,,
