;;;;;;;;;;;;;;;;;;
;EEX Power Derivatives Phelix-DE-Base-Month-Future;;;;;;;;;;;;;;;;;
Trading Day;Contract;Delivery Period;Delivery Start;Delivery End;Contract Volume;Open Price;High Price;Low Price;Last Price;"Settlement
Price";Exchange Volume MWh;Exchange Traded Contracts;Exchange Number of Trades;TradeReg Volume MWh;TradeReg Traded Contracts;TradeReg Number of Trades;Open Interest MWh (prev. day);Open Interest Contracts (prev. day)
19-12-2017;DEBM;2018.04;01-04-18;30-04-18;720;;;;;35,37;0;0;0;0;0;0;162000;225
19-12-2017;DEBM;2018.05;01-05-18;31-05-18;744;;;;;33,93;0;0;0;0;0;0;0;0
19-12-2017;DEBM;2018.06;01-06-18;30-06-18;720;;;;;35,62;0;0;0;0;0;0;0;0
19-12-2017;DEBM;2018.07;01-07-18;31-07-18;744;;;;;34,97;0;0;0;0;0;0;0;0
19-12-2017;DEBM;2018.08;01-08-18;31-08-18;744;;;;;36,52;0;0;0;0;0;0;0;0
19-12-2017;DEBM;2018.09;01-09-18;30-09-18;720;;;;;0,01;0;0;0;0;0;0;0;0
18-12-2017;DEBM;2017.12;01-12-17;31-12-17;744;;;;;31,58;0;0;0;0;0;0;4161192;5593
18-12-2017;DEBM;2018.01;01-01-18;31-01-18;744;42,9;42,9;42,7;42,8;42,79;80352;108;16;193440;260;50;1334736;1794
18-12-2017;DEBM;2018.02;01-02-18;28-02-18;672;45,2;45,2;45,2;45,2;45,36;672;1;1;0;0;0;369600;550
18-12-2017;DEBM;2018.03;01-03-18;31-03-18;743;38,1;38,25;38;38,25;38,45;8916;12;3;0;0;0;575825;775
18-12-2017;DEBM;2018.04;01-04-18;30-04-18;720;;;;;35,44;0;0;0;0;0;0;162000;225
18-12-2017;DEBM;2018.05;01-05-18;31-05-18;744;;;;;34,17;0;0;0;0;0;0;0;0
18-12-2017;DEBM;2018.06;01-06-18;30-06-18;720;;;;;35,86;0;0;0;0;0;0;0;0
18-12-2017;DEBM;2018.07;01-07-18;31-07-18;744;;;;;34,75;0;0;0;0;0;0;0;0
18-12-2017;DEBM;2018.08;01-08-18;31-08-18;744;;;;;36,82;0;0;0;0;0;0;0;0
18-12-2017;DEBM;2018.09;01-09-18;30-09-18;720;;;;;0,01;0;0;0;0;0;0;0;0
15-12-2017;DEBM;2017.12;01-12-17;31-12-17;744;;;;;32,33;0;0;0;0;0;0;4161192;5593
